Rk,Date,Tm,Opp,Result,Player,Dist,Good.,Blk.
3,2019-09-23,CHI,WAS,W 31-15,Eddy Pineiro,38,Y,N
4,2019-09-29,CHI,MIN,W 16-6,Eddy Pineiro,38,Y,N
5,2019-10-06,GNB,DAL,W 34-24,Mason Crosby,38,Y,N
6,2019-10-06,JAX,CAR,L 27-34,Josh Lambo,38,Y,N
7,2019-10-13,SEA,CLE,W 32-28,Jason Myers,38,Y,N
8,2019-10-13,NYJ,DAL,W 24-22,Sam Ficken,38,Y,N
9,2019-10-13,LAC,PIT,L 17-24,Chase McLaughlin,38,Y,N
10,2019-10-20,PHI,DAL,L 10-37,Jake Elliott,38,Y,N
11,2019-10-20,CIN,JAX,L 17-27,Randy Bullock,38,Y,N
12,2019-10-27,CLE,NWE,L 13-27,Austin Seibert,38,Y,N
1,2019-09-08,JAX,KAN,L 26-40,Josh Lambo,37,Y,N
2,2019-09-08,TEN,CLE,W 43-13,Cairo Santos,37,Y,N
3,2019-09-12,CAR,TAM,L 14-20,Joey Slye,37,Y,N
4,2019-09-15,CIN,SFO,L 17-41,Randy Bullock,37,Y,N
5,2019-09-22,NWE,NYJ,W 30-14,Stephen Gostkowski,37,Y,N
6,2019-09-22,LAR,CLE,W 20-13,Greg Zuerlein,37,Y,N
7,2019-09-29,HOU,CAR,L 10-16,Ka'imi Fairbairn,37,Y,N
8,2019-10-06,NWE,WAS,W 33-7,Mike Nugent,37,Y,N
9,2019-10-06,ARI,CIN,W 26-23,Zane Gonzalez,37,N,N
10,2019-10-14,GNB,DET,W 23-22,Mason Crosby,37,Y,N
11,2019-10-20,NYG,ARI,L 21-27,Aldrick Rosas,37,N,N
12,2019-10-20,JAX,CIN,W 27-17,Josh Lambo,37,Y,N
13,2019-10-27,ATL,SEA,L 20-27,Matt Bryant,37,Y,N
14,2019-10-27,PHI,BUF,W 31-13,Jake Elliott,37,Y,N
1,2019-09-08,SFO,TAM,W 31-17,Robbie Gould,36,Y,N
2,2019-09-22,CAR,ARI,W 38-20,Joey Slye,36,Y,N
3,2019-09-22,NYG,TAM,W 32-31,Aldrick Rosas,36,Y,N
4,2019-09-22,KAN,BAL,W 33-28,Harrison Butker,36,Y,N
5,2019-09-29,KAN,DET,W 34-30,Harrison Butker,36,N,N
6,2019-10-03,LAR,SEA,L 29-30,Greg Zuerlein,36,Y,N
7,2019-10-06,KAN,IND,L 13-19,Harrison Butker,36,Y,N
8,2019-10-06,DAL,GNB,L 24-34,Brett Maher,36,Y,N
9,2019-10-06,TEN,BUF,L 7-14,Cairo Santos,36,N,N
1,2019-09-08,KAN,JAX,W 40-26,Harrison Butker,35,Y,N
2,2019-09-08,NWE,PIT,W 33-3,Stephen Gostkowski,35,Y,N
3,2019-09-22,CLE,LAR,L 13-20,Austin Seibert,35,Y,N
4,2019-09-23,WAS,CHI,L 15-31,Dustin Hopkins,35,Y,N
5,2019-10-06,ATL,HOU,L 32-53,Matt Bryant,35,Y,N
6,2019-10-06,JAX,CAR,L 27-34,Josh Lambo,35,Y,N
7,2019-10-20,ARI,NYG,W 27-21,Zane Gonzalez,35,Y,N
8,2019-10-20,SEA,BAL,L 16-30,Jason Myers,35,Y,N
9,2019-10-27,GNB,KAN,W 31-24,Mason Crosby,35,Y,N
1,2019-09-08,ARI,DET,T 27-27,Zane Gonzalez,34,Y,N
2,2019-09-08,BAL,MIA,W 59-10,Justin Tucker,34,Y,N
3,2019-09-15,PHI,ATL,L 20-24,Jake Elliott,34,Y,N
4,2019-09-15,NOR,LAR,L 9-27,Wil Lutz,34,Y,N
5,2019-09-22,ATL,IND,L 24-27,Matt Bryant,34,Y,N
6,2019-09-22,TAM,NYG,L 31-32,Matt Gay,34,N,N
7,2019-09-22,LAC,HOU,L 20-27,Ty Long,34,Y,N
8,2019-09-22,BUF,CIN,W 21-17,Stephen Hauschka,34,Y,N
9,2019-09-22,ARI,CAR,L 20-38,Zane Gonzalez,34,Y,N
10,2019-09-29,JAX,DEN,W 26-24,Josh Lambo,34,Y,N
11,2019-10-13,SFO,LAR,W 20-7,Robbie Gould,34,Y,N
12,2019-10-20,SEA,BAL,L 16-30,Jason Myers,34,Y,N
13,2019-10-21,NWE,NYJ,W 33-0,Mike Nugent,34,Y,N
14,2019-10-27,NWE,CLE,W 27-13,Mike Nugent,34,N,N
1,2019-09-08,DET,ARI,T 27-27,Matt Prater,33,Y,N
2,2019-09-15,BAL,ARI,W 23-17,Justin Tucker,33,Y,N
3,2019-09-15,SFO,CIN,W 41-17,Robbie Gould,33,Y,N
4,2019-09-15,PIT,SEA,L 26-28,Chris Boswell,33,Y,N
5,2019-09-22,DET,PHI,W 27-24,Matt Prater,33,Y,N
6,2019-09-22,MIA,DAL,L 6-31,Jason Sanders,33,Y,N
7,2019-09-29,JAX,DEN,W 26-24,Josh Lambo,33,Y,N
8,2019-09-29,ARI,SEA,L 10-27,Zane Gonzalez,33,Y,N
9,2019-09-29,SEA,ARI,W 27-10,Jason Myers,33,Y,N
10,2019-09-29,DEN,JAX,L 24-26,Brandon McManus,33,Y,N
11,2019-10-06,DAL,GNB,L 24-34,Brett Maher,33,N,N
12,2019-10-06,TEN,BUF,L 7-14,Cairo Santos,33,N,Y
13,2019-10-06,PIT,BAL,L 23-26,Chris Boswell,33,Y,N
14,2019-10-17,KAN,DEN,W 30-6,Harrison Butker,33,Y,N
15,2019-10-27,CHI,LAC,L 16-17,Eddy Pineiro,33,N,N
16,2019-10-27,HOU,OAK,W 27-24,Ka'imi Fairbairn,33,Y,N
1,2019-09-09,NOR,HOU,W 30-28,Wil Lutz,32,Y,N
2,2019-09-12,CAR,TAM,L 14-20,Joey Slye,32,Y,N
3,2019-09-12,TAM,CAR,W 20-14,Matt Gay,32,Y,N
4,2019-09-15,DEN,CHI,L 14-16,Brandon McManus,32,Y,N
5,2019-09-15,JAX,HOU,L 12-13,Josh Lambo,32,Y,N
6,2019-09-29,ATL,TEN,L 10-24,Matt Bryant,32,N,N
7,2019-10-03,LAR,SEA,L 29-30,Greg Zuerlein,32,Y,N
8,2019-10-06,MIN,NYG,W 28-10,Dan Bailey,32,Y,N
9,2019-10-06,IND,KAN,W 19-13,Adam Vinatieri,32,Y,N
10,2019-10-06,NYG,MIN,L 10-28,Aldrick Rosas,32,Y,N
11,2019-10-06,LAC,DEN,L 13-20,Chase McLaughlin,32,Y,N
12,2019-10-06,IND,KAN,W 19-13,Adam Vinatieri,32,Y,N
13,2019-10-07,SFO,CLE,W 31-3,Robbie Gould,32,N,Y
14,2019-10-13,JAX,NOR,L 6-13,Josh Lambo,32,Y,N
15,2019-10-13,DAL,NYJ,L 22-24,Brett Maher,32,Y,N
1,2019-09-08,TAM,SFO,L 17-31,Matt Gay,31,Y,N
2,2019-09-15,MIN,GNB,L 16-21,Dan Bailey,31,Y,N
3,2019-09-26,GNB,PHI,L 27-34,Mason Crosby,31,Y,N
4,2019-10-06,IND,KAN,W 19-13,Adam Vinatieri,31,Y,N
5,2019-10-06,MIN,NYG,W 28-10,Dan Bailey,31,Y,N
6,2019-10-06,ARI,CIN,W 26-23,Zane Gonzalez,31,Y,N
7,2019-10-13,DEN,TEN,W 16-0,Brandon McManus,31,Y,N
8,2019-10-20,SEA,BAL,L 16-30,Jason Myers,31,Y,N
9,2019-10-20,HOU,IND,L 23-30,Ka'imi Fairbairn,31,Y,N
10,2019-10-27,ARI,NOR,L 9-31,Zane Gonzalez,31,Y,N
11,2019-10-27,ARI,NOR,L 9-31,Zane Gonzalez,31,Y,N
1,2019-09-22,DEN,GNB,L 16-27,Brandon McManus,30,Y,N
2,2019-09-26,GNB,PHI,L 27-34,Mason Crosby,30,Y,N
3,2019-09-29,CHI,MIN,W 16-6,Eddy Pineiro,30,Y,N
4,2019-09-29,MIA,LAC,L 10-30,Jason Sanders,30,Y,N
5,2019-09-29,NYG,WAS,W 24-3,Aldrick Rosas,30,Y,N
6,2019-10-07,CLE,SFO,L 3-31,Austin Seibert,30,Y,N
7,2019-10-20,NOR,CHI,W 36-25,Wil Lutz,30,Y,N
8,2019-10-24,WAS,MIN,L 9-19,Dustin Hopkins,30,Y,N
1,2019-09-08,IND,LAC,L 24-30,Adam Vinatieri,29,N,N
2,2019-09-08,SFO,TAM,W 31-17,Robbie Gould,29,Y,N
3,2019-09-09,OAK,DEN,W 24-16,Daniel Carlson,29,Y,N
4,2019-09-15,OAK,KAN,L 10-28,Daniel Carlson,29,Y,N
5,2019-09-30,PIT,CIN,W 27-3,Chris Boswell,29,Y,N
6,2019-10-06,KAN,IND,L 13-19,Harrison Butker,29,Y,N
7,2019-10-06,NOR,TAM,W 31-24,Wil Lutz,29,Y,N
8,2019-10-06,PIT,BAL,L 23-26,Chris Boswell,29,Y,N
9,2019-10-06,IND,KAN,W 19-13,Adam Vinatieri,29,Y,N
10,2019-10-13,ATL,ARI,L 33-34,Matt Bryant,29,Y,N
11,2019-10-13,CAR,TAM,W 37-26,Joey Slye,29,Y,N
12,2019-10-20,DAL,PHI,W 37-10,Brett Maher,29,Y,N
13,2019-10-20,LAC,TEN,L 20-23,Chase McLaughlin,29,Y,N
14,2019-10-20,JAX,CIN,W 27-17,Josh Lambo,29,Y,N
15,2019-10-20,SFO,WAS,W 9-0,Robbie Gould,29,Y,N
16,2019-10-24,MIN,WAS,W 19-9,Dan Bailey,29,Y,N
17,2019-10-27,DEN,IND,L 13-15,Brandon McManus,29,Y,N
18,2019-10-27,JAX,NYJ,W 29-15,Josh Lambo,29,Y,N
19,2019-10-27,NWE,CLE,W 27-13,Mike Nugent,29,Y,N
20,2019-10-27,NWE,CLE,W 27-13,Mike Nugent,29,N,Y
1,2019-09-08,NYG,DAL,L 17-35,Aldrick Rosas,28,Y,N
2,2019-09-08,KAN,JAX,W 40-26,Harrison Butker,28,Y,N
3,2019-09-08,ARI,DET,T 27-27,Zane Gonzalez,28,Y,N
4,2019-09-15,BAL,ARI,W 23-17,Justin Tucker,28,Y,N
5,2019-09-15,NWE,MIA,W 43-0,Stephen Gostkowski,28,Y,N
6,2019-09-22,DAL,MIA,W 31-6,Brett Maher,28,Y,N
7,2019-09-29,DAL,NOR,L 10-12,Brett Maher,28,Y,N
8,2019-09-30,CIN,PIT,L 3-27,Randy Bullock,28,Y,N
9,2019-10-06,PHI,NYJ,W 31-6,Jake Elliott,28,Y,N
10,2019-10-20,SFO,WAS,W 9-0,Robbie Gould,28,Y,N
